# Review candidates only. `fallback 사용` means the current UI falls back to the first two characters.
# game_name	bgg_id	current_abbr	source	reason
익스플로딩키튼	172225	익스	fallback 사용	fallback 사용
인더스트리아	8124	인더	fallback 사용	fallback 사용
인생게임	2921	인생	fallback 사용	fallback 사용
인쉬	155821	인쉬	fallback 사용	fallback 사용
임페리얼스팀	338760	임페	fallback 사용	fallback 사용
잉카의황금	15512	잉카	fallback 사용	fallback 사용
자반도르의셉터	13884	자반	fallback 사용	fallback 사용
자이푸르	54043	자이	fallback 사용	fallback 사용
재치와눈치	66588	재치	fallback 사용	fallback 사용
저스트원	254640	저스	fallback 사용	fallback 사용
전지적추리시점	400995	전지	fallback 사용	fallback 사용
점박이	372559	점박	fallback 사용	fallback 사용
젝스님트	432	젝스	fallback 사용	fallback 사용
젠가	2452	젠가	fallback 사용	fallback 사용
젬블로	19427	젬블	fallback 사용	fallback 사용
좀비사이드 무기를 들어라	364792	좀비	fallback 사용	fallback 사용
종이와바다	367220	종이	fallback 사용	fallback 사용
죄와벌의도서관(미스터리파티시리즈)	11612	죄와	fallback 사용	fallback 사용
줄로레또	27588	줄로	fallback 사용	fallback 사용
지킬&하이드&스코틀랜드야드	377793	지킬	fallback 사용	fallback 사용
차이나타운	47	차이	fallback 사용	fallback 사용
챠오챠오	1163	챠오	fallback 사용	fallback 사용
체스	171	체스	fallback 사용	fallback 사용
촐킨	126163	촐킨	fallback 사용	fallback 사용
치킨차차 미니	3570	치킨	fallback 사용	fallback 사용
칠교신도시	391497	칠교	fallback 사용	fallback 사용
카나가와	200147	카나	fallback 사용	fallback 사용
카네기	310873	카네	fallback 사용	fallback 사용
카리바	84732	카리	fallback 사용	fallback 사용
카보	271321	카보	fallback 사용	fallback 사용
카이사르	338957	카이	fallback 사용	fallback 사용
카후나	394	카후	fallback 사용	fallback 사용
캐노피	295607	캐노	fallback 사용	fallback 사용
캐슬콤보	416851	캐슬	fallback 사용	fallback 사용
캐시앤건즈	155362	캐시	fallback 사용	fallback 사용
캘리코	283155	캘리	fallback 사용	fallback 사용
캡틴블랙잭	183528	캡틴	fallback 사용	fallback 사용
캣레이디	228504	캣레	fallback 사용	fallback 사용
커피러시	377061	커피	fallback 사용	fallback 사용
컬러레또	5782	컬러	fallback 사용	fallback 사용
케일러스1303	284818	케일	fallback 사용	fallback 사용
코덱스	314503	코덱	fallback 사용	fallback 사용
코드네임	178900	코드	ID 명시 약칭	duplicate-abbr
코드네임(영어)	178900	코드	ID 명시 약칭	duplicate-abbr
콘셉트	147151	콘셉	fallback 사용	fallback 사용
콩코르디아 + 비너스 확장	124361	콩코	fallback 사용	fallback 사용
콰이어트하우스	411396	콰이	fallback 사용	fallback 사용
쿠	131357	쿠	ID 명시 약칭	duplicate-abbr
쿼리도	624	쿼리	fallback 사용	fallback 사용
쿼키서킷	274093	쿼키	fallback 사용	fallback 사용
퀘스트	316287	퀘스	fallback 사용	fallback 사용
퀵소	3190	퀵소	fallback 사용	fallback 사용
퀸도미노	232043	퀸도	fallback 사용	fallback 사용
큐비토스	298069	큐비	fallback 사용	fallback 사용
크라스카리어트	243430	크라	fallback 사용	fallback 사용
크로스클루	300753	크로	fallback 사용	fallback 사용
크루세이더	170624	크루	fallback 사용	fallback 사용
클라스크	165722	클라	fallback 사용	fallback 사용
클러스터	277458	클러	fallback 사용	fallback 사용
클루	1294	클루	fallback 사용	fallback 사용
클리닉	272739	클리	fallback 사용	fallback 사용
키친러시	223953	키친	fallback 사용	fallback 사용
키플라워 + 농부들 확장	122515	키플	fallback 사용	fallback 사용
킹덤오브다이스	436650	킹덤	fallback 사용	fallback 사용
킹도미노	204583	킹도	fallback 사용	fallback 사용
타르기	118048	타르	fallback 사용	fallback 사용
탁상탐정단1		탁상1	이름 정본	no-bgg-id
탁상탐정단2		탁상2	이름 정본	no-bgg-id
탁상탐정단3		탁상3	이름 정본	no-bgg-id
탁상탐정단4		탁상4	이름 정본	no-bgg-id
탐험가들	368413	탐험	fallback 사용	fallback 사용
탑텐티비	300905	탑텐	fallback 사용	fallback 사용
텀블링다이스	16747	텀블	fallback 사용	fallback 사용
테베	30869	테베	fallback 사용	fallback 사용
테케누	297030	테케	fallback 사용	fallback 사용
텔레스트레이션	46213	텔레	fallback 사용	fallback 사용
텔미모어	378256	텔미	fallback 사용	fallback 사용
트래블블로그(영)	85105	트래	fallback 사용	fallback 사용
티칼	54	티칼	fallback 사용	fallback 사용
티키토플	34373	티키	fallback 사용	fallback 사용
틸레툼	351913	틸레	fallback 사용	fallback 사용
파러웨이	385761	파러	fallback 사용	fallback 사용
파수꾼	228855	파수	fallback 사용	fallback 사용
파워그리드	2651	파워	fallback 사용	fallback 사용
팍스파미르	256960	팍스	fallback 사용	fallback 사용
팔레오	300531	팔레	fallback 사용	fallback 사용
패치워크 크리스마스에디션	163412	패치	fallback 사용	fallback 사용
퍼스트클래스	206941	퍼스	fallback 사용	fallback 사용
펄서2849	228341	펄서	fallback 사용	fallback 사용
페루도	45	페루	fallback 사용	fallback 사용
페야의늪	438442	페야	fallback 사용	fallback 사용
페이퍼사파리	39534	페이	ID 명시 약칭	duplicate-abbr
페이퍼사파리(스모키)	39534	페이	ID 명시 약칭	duplicate-abbr
펜스테르담		펜스	fallback 사용	fallback 사용,no-bgg-id
펠리시티 자루속고양이	32125	펠리	fallback 사용	fallback 사용
포가튼워터스	302723	포가	fallback 사용	fallback 사용
포레스트셔플	391163	포레	fallback 사용	fallback 사용
포션폭발 + 다섯번째학생 확장	180974	포션	fallback 사용	fallback 사용
포인트샐러드 이브이에디션	274960	포인	fallback 사용	fallback 사용
포커칩세트		포커	fallback 사용	fallback 사용,no-bgg-id
포켓몬사다리게임		사다리	이름 정본	no-bgg-id
포트로얄	156009	포트	fallback 사용	fallback 사용
폭시	359318	폭시	fallback 사용	fallback 사용
푸들택시	429662	푸들	fallback 사용	fallback 사용
프라이머 각성	303731	프라	fallback 사용	fallback 사용
프레스코	66188	프레	fallback 사용	fallback 사용
프로젝트L	260180	프로	fallback 사용	fallback 사용
