# Current abbreviations calculated in build priority: BGG ID, owned/direct name, then first two characters.
# game_name	bgg_id	abbr	source
쿠키런킹덤	359009	쿠키런	ID 명시 약칭
쿠키박스 포켓몬	202564	쿠키박	ID 명시 약칭
쿠트나호라	385610	쿠트나	ID 명시 약칭
쿼리도	624	쿼리	fallback 사용
쿼키서킷	274093	쿼키	fallback 사용
퀘스트	316287	퀘스	fallback 사용
퀵소	3190	퀵소	fallback 사용
퀸도미노	232043	퀸도	fallback 사용
큐비토스	298069	큐비	fallback 사용
크라스카리어트	243430	크라	fallback 사용
크로스클루	300753	크로	fallback 사용
크루세이더	170624	크루	fallback 사용
크리스탈팰리스	280480	크팰	ID 명시 약칭
크베들린부르크의돌팔이약장수	244521	돌팔이	ID 명시 약칭
클라스크	165722	클라	fallback 사용
클랜오브칼레도니아	216132	클오칼	ID 명시 약칭
클랭크	201808	클랭	ID 명시 약칭
클랭크카타콤	365717	카타콤	ID 명시 약칭
클러스터	277458	클러	fallback 사용
클레임1+클레임2	233961	클레임	ID 명시 약칭
클루	1294	클루	fallback 사용
클리닉	272739	클리	fallback 사용
키친러시	223953	키친	fallback 사용
키플라워 + 농부들 확장	122515	키플	fallback 사용
킹덤오브다이스	436650	킹덤	fallback 사용
킹도미노	204583	킹도	fallback 사용
타르기	118048	타르	fallback 사용
타이니에픽던전 + 스토리즈 확장	331787	타에던	ID 명시 약칭
타이니타운	265736	타타운	ID 명시 약칭
타코캣고트치즈피자	253664	타코캣	ID 명시 약칭
탁상탐정단1		탁상1	이름 정본
탁상탐정단2		탁상2	이름 정본
탁상탐정단3		탁상3	이름 정본
탁상탐정단4		탁상4	이름 정본
탐험가들	368413	탐험	fallback 사용
탑텐티비	300905	탑텐	fallback 사용
태양너머로 (+새여명의지도자들 확장)	317985	태양너	ID 명시 약칭
태양신라	12	라	ID 명시 약칭
텀블링다이스	16747	텀블	fallback 사용
테라포밍마스 + 서곡 + 맵확장	167791	테포마	ID 명시 약칭
테라포밍마스주사위	296108	주포마	ID 명시 약칭
테베	30869	테베	fallback 사용
테오티우아칸	229853	테티칸	ID 명시 약칭
테케누	297030	테케	fallback 사용
텔레스트레이션	46213	텔레	fallback 사용
텔미모어	378256	텔미	fallback 사용
투카나여행길	283864	투카나	ID 명시 약칭
트라야누스	102680	트라야	ID 명시 약칭
트래블블로그(영)	85105	트래	fallback 사용
트루아 (영)	73439	트루아	ID 명시 약칭
트릭케리언	163068	트릭케	ID 명시 약칭
트릭테이커스	343566	트릭테	ID 명시 약칭
티츄 딜럭스	215	티츄	ID 명시 약칭
티칼	54	티칼	fallback 사용
티켓투라이드 유럽 15주년 기념판	9209	티투라	ID 명시 약칭
티키토플	34373	티키	fallback 사용
틸레툼	351913	틸레	fallback 사용
팀3 핑크	247694	팀3	ID 명시 약칭
파러웨이	385761	파러	fallback 사용
파수꾼	228855	파수	fallback 사용
파워그리드	2651	파워	fallback 사용
팍스파미르	256960	팍스	fallback 사용
판타지디펜스	223950	판타디	ID 명시 약칭
판타지왕국	223040	판타왕	ID 명시 약칭
팔레오	300531	팔레	fallback 사용
패치워크 크리스마스에디션	163412	패치	fallback 사용
팬데믹 + 벼랑끝에서 확장	30549	팬데믹	ID 명시 약칭
팬암(영)	303057	팬암	ID 명시 약칭
퍼스트클래스	206941	퍼스	fallback 사용
펄서2849	228341	펄서	fallback 사용
페루도	45	페루	fallback 사용
